日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/14,830 鳳山區,LH1 菠菜 圓葉 ,96.2,44.5,28.6,51.7, -  1,480.0, + 12,0
113/11/14,104 台北二,LH2 菠菜 角葉 ,125.0,120.9,110.0,119.5, +  9,108.0, - 61,0
113/11/14,648 西螺鎮,LH2 菠菜 角葉 ,100.0,80.0,40.0,75.9, -  1,6297.0, - 15,0
113/11/14,241 三重區,LH1 菠菜 圓葉 ,106.3,82.0,56.9,81.8, - 29,1430.0, +109,0
113/11/14,800 高雄市,LH2 菠菜 角葉 ,155.0,142.7,110.4,138.7, + 23,460.0, +  2,0
113/11/14,260 宜蘭市,LH1 菠菜 圓葉 ,130.0,80.0,50.0,80.0,    0,2750.0,    0,0
113/11/14,420 豐原區,LH1 菠菜 圓葉 ,116.7,92.0,64.7,91.5, - 26,374.0, + 99,0
113/11/14,220 板橋區,LH1 菠菜 圓葉 ,130.0,104.7,70.3,102.9, -  3,1117.0, + 18,0
113/11/14,220 板橋區,LH2 菠菜 角葉 ,80.0,74.5,58.0,72.3, -  8,165.0, - 32,0
113/11/14,400 台中市,LH1 菠菜 圓葉 ,110.0,81.9,50.3,76.8, -  9,377.0, - 51,0
113/11/15,900 屏東市,LH1 菠菜 圓葉 ,86.5,51.6,15.0,51.3, + 33,1569.0, + 72,0
113/11/15,800 高雄市,LH1 菠菜 圓葉 ,117.5,80.5,64.6,84.74, - 15,1400.0, +  9,0
113/11/15,800 高雄市,LH2 菠菜 角葉 ,155.0,125.2,48.2,115.72, - 17,828.0, + 80,0
113/11/15,241 三重區,LH1 菠菜 圓葉 ,102.5,79.6,43.8,77.0, -  6,1850.0, + 29,0
113/11/15,260 宜蘭市,LH1 菠菜 圓葉 ,120.0,80.0,50.0,80.0,    0,2750.0,    0,0
113/11/15,104 台北二,LH1 菠菜 圓葉 ,116.5,77.0,48.2,79.1, - 17,4238.0, + 90,0
